surface,reading,source_ref,commonness_tier
昨日,きのう,wnja:15156187-n,basic
時間,じかん,wnja:00028270-n,basic
晴れ,はれ,wnja:11456462-n,basic
曜日,ようび,wnja:15163005-n,basic
最初,さいしょ,wnja:05868051-n,basic
最後,さいご,wnja:05868477-n,basic
最近,さいきん,wnja:15119536-n,basic
果実,かじつ,wnja:07742704-n,basic
果物,くだもの,wnja:07705931-n,basic
牛乳,ぎゅうにゅう,wnja:07844042-n,basic
生徒,せいと,wnja:10251779-n,basic
番号,ばんごう,wnja:06326526-n,basic
病気,びょうき,wnja:09181557-n,basic
病院,びょういん,wnja:03540595-n,basic
石鹸,せっけん,wnja:04253437-n,basic
砂糖,さとう,wnja:07859284-n,basic
祖母,そぼ,wnja:10142747-n,basic
祖父,そふ,wnja:10142391-n,basic
空港,くうこう,wnja:02692232-n,basic
筋肉,きんにく,wnja:05030418-n,basic
答え,こたえ,wnja:01234952-n,basic
紅茶,こうちゃ,wnja:07933274-n,basic
背中,せなか,wnja:02767665-n,basic
自分,じぶん,wnja:09604981-n,basic
英語,えいご,wnja:06155432-n,basic
菓子,かし,wnja:07596684-n,basic
言葉,ことば,wnja:06282651-n,basic
警察,けいさつ,wnja:03977678-n,basic
財布,さいふ,wnja:04026417-n,basic
質問,しつもん,wnja:05797597-n,basic
近く,ちかく,wnja:08641113-n,basic
通り,とおり,wnja:03895293-n,basic
運動,うんどう,wnja:00331950-n,basic
部屋,へや,wnja:02991711-n,basic
銀行,ぎんこう,wnja:02787772-n,basic
階段,かいだん,wnja:04298171-n,basic
電話,でんわ,wnja:04401088-n,basic
電車,でんしゃ,wnja:04335435-n,basic
靴下,くつした,wnja:04254777-n,basic
食事,しょくじ,wnja:07561112-n,basic
黄色,きいろ,wnja:04965661-n,basic
黒板,こくばん,wnja:02846511-n,basic
お釣り,おつり,wnja:02777100-n,basic
アジア,あじあ,wnja:09207288-n,basic
ガラス,がらす,wnja:14881303-n,basic
スープ,すーぷ,wnja:07583197-n,basic
トイレ,といれ,wnja:00828704-n,basic
ビール,びーる,wnja:07886849-n,basic
ミルク,みるく,wnja:07844042-n,basic
入り口,いりぐち,wnja:03221720-n,basic
冷蔵庫,れいぞうこ,wnja:03102654-n,basic
同級生,どうきゅうせい,wnja:10560106-n,basic
図書館,としょかん,wnja:03660664-n,basic
土曜日,どようび,wnja:15164570-n,basic
外国人,がいこくじん,wnja:10103485-n,basic
女の子,おんなのこ,wnja:06342182-n,basic
手伝い,てつだい,wnja:01207609-n,basic
日曜日,にちようび,wnja:15163797-n,basic
日本語,にほんご,wnja:06929279-n,basic
