surface,reading,source_ref,commonness_tier
半風子,はんぷうし,wnja:02183857-n,wordnet
卑金属,ひきんぞく,wnja:14618674-n,wordnet
卓越風,たくえつふう,wnja:11497586-n,wordnet
協奏曲,きょうそうきょく,wnja:07043275-n,wordnet
協定書,きょうていしょ,wnja:07175241-n,wordnet
南京袋,なんきんぶくろ,wnja:03469903-n,wordnet
南京豆,なんきんまめ,wnja:07737745-n,wordnet
南寄り,みなみより,wnja:11511405-n,wordnet
南極圏,なんきょくけん,wnja:08494676-n,wordnet
単一性,たんいつせい,wnja:04763650-n,wordnet
単位胞,たんいぼう,wnja:09465795-n,wordnet
単数形,たんすうけい,wnja:06299916-n,wordnet
単眼鏡,たんがんきょう,wnja:03783430-n,wordnet
単糖類,たんとうるい,wnja:14954284-n,wordnet
単純性,たんじゅんせい,wnja:04766059-n,wordnet
単葉機,たんようき,wnja:03783873-n,wordnet
博物学,はくぶつがく,wnja:05794189-n,wordnet
博言学,はくげんがく,wnja:06172789-n,wordnet
占有者,せんゆうしゃ,wnja:10389398-n,wordnet
印字機,いんじき,wnja:04505036-n,wordnet
印紙法,いんしほう,wnja:06564887-n,wordnet
印紙税,いんしぜい,wnja:13315191-n,wordnet
即位式,そくいしき,wnja:07453638-n,wordnet
卵巣炎,らんそうえん,wnja:14351995-n,wordnet
卵細胞,らんさいぼう,wnja:01460457-n,wordnet
卸問屋,おろしどんや,wnja:10222497-n,wordnet
厄介者,やっかいもの,wnja:05830059-n,wordnet
厄払い,やくはらい,wnja:05978472-n,wordnet
原動機,げんどうき,wnja:03789946-n,wordnet
原子価,げんしか,wnja:05034473-n,wordnet
原子核,げんしかく,wnja:09375085-n,wordnet
原子病,げんしびょう,wnja:14308472-n,wordnet
原子論,げんしろん,wnja:06103270-n,wordnet
原子量,げんしりょう,wnja:05025935-n,wordnet
原形質,げんけいしつ,wnja:05432736-n,wordnet
原生代,げんせいだい,wnja:15128997-n,wordnet
原腸胚,げんちょうはい,wnja:01462544-n,wordnet
厭世家,えんせいか,wnja:10419472-n,wordnet
厳しさ,きびしさ,wnja:04639732-n,wordnet
去勢牛,きょせいぎゅう,wnja:02403231-n,wordnet
去痰剤,きょたんざい,wnja:03304605-n,wordnet
参事会,さんじかい,wnja:08310949-n,wordnet
参事官,さんじかん,wnja:09944763-n,wordnet
参照先,さんしょうさき,wnja:06603130-n,wordnet
参考人,さんこうにん,wnja:10301089-n,wordnet
参謀長,さんぼうちょう,wnja:09917214-n,wordnet
又の日,またのひ,wnja:15155891-n,wordnet
又従兄,またいとこ,wnja:10568358-n,wordnet
又貸し,またがし,wnja:13248928-n,wordnet
双曲線,そうきょくせん,wnja:13886575-n,wordnet
双曲面,そうきょくめん,wnja:13896854-n,wordnet
双極子,そうきょくし,wnja:09266946-n,wordnet
双球菌,そうきゅうきん,wnja:01380610-n,wordnet
双翅類,そうしるい,wnja:02188699-n,wordnet
反射弓,はんしゃきゅう,wnja:05463449-n,wordnet
反射炉,はんしゃろ,wnja:04084682-n,wordnet
反射角,はんしゃかく,wnja:13891371-n,wordnet
反物質,はんぶっしつ,wnja:14582535-n,wordnet
反発力,はんぱつりょく,wnja:05020697-n,wordnet
反磁性,はんじせい,wnja:11479816-n,wordnet
反粒子,はんりゅうし,wnja:09199904-n,wordnet
反義語,はんぎご,wnja:06288024-n,wordnet
反芻類,はんすうるい,wnja:02398732-n,wordnet
反逆罪,はんぎゃくざい,wnja:00782072-n,wordnet
反逆者,はんぎゃくしゃ,wnja:10210137-n,wordnet
反陽子,はんようし,wnja:09200193-n,wordnet
反革命,はんかくめい,wnja:00963057-n,wordnet
収まり,おさまり,wnja:05076827-n,wordnet
収入役,しゅうにゅうやく,wnja:10727256-n,wordnet
収斂剤,しゅうれんざい,wnja:02750835-n,wordnet
収益性,しゅうえきせい,wnja:05157866-n,wordnet
取やめ,とりやめ,wnja:00232386-n,wordnet
取り分,とりぶん,wnja:01085098-n,wordnet
取り前,とりまえ,wnja:01085098-n,wordnet
取り得,とりどく,wnja:04807050-n,wordnet
取り所,とりどころ,wnja:03485997-n,wordnet
取り手,とりて,wnja:09627906-n,wordnet
取れ高,とれだか,wnja:04612722-n,wordnet
取下げ,とりさげ,wnja:07206302-n,wordnet
取付き,とりつき,wnja:05868051-n,wordnet
取回し,とりまわし,wnja:00140652-n,wordnet
取外し,とりはずし,wnja:00391599-n,wordnet
取得者,しゅとくしゃ,wnja:08419354-n,wordnet
取払い,とりはらい,wnja:00391599-n,wordnet
取残し,とりのこし,wnja:13810818-n,wordnet
取潰し,とりつぶし,wnja:07334490-n,wordnet
取込み,とりこみ,wnja:07507912-n,wordnet
取返し,とりかえし,wnja:00235074-n,wordnet
受け方,うけかた,wnja:09627906-n,wordnet
受け皿,うけざら,wnja:04139291-n,wordnet
受信人,じゅしんにん,wnja:09769345-n,wordnet
受信料,じゅしんりょう,wnja:13322113-n,wordnet
受像機,じゅぞうき,wnja:04405907-n,wordnet
受刑者,じゅけいしゃ,wnja:09962966-n,wordnet
受動性,じゅどうせい,wnja:04636397-n,wordnet
受合い,うけあい,wnja:06686174-n,wordnet
受容体,じゅようたい,wnja:05299178-n,wordnet
受容器,じゅようき,wnja:05299178-n,wordnet
受益者,じゅえきしゃ,wnja:09850121-n,wordnet
受精膜,じゅせいまく,wnja:05319419-n,wordnet
受給者,じゅきゅうしゃ,wnja:10414612-n,wordnet
受講者,じゅこうしゃ,wnja:10059162-n,wordnet
受領書,じゅりょうしょ,wnja:06520222-n,wordnet
受領証,じゅりょうしょう,wnja:06520222-n,wordnet
受験者,じゅけんしゃ,wnja:10703692-n,wordnet
叙事文,じょじぶん,wnja:06514093-n,wordnet
叙事詩,じょじし,wnja:06379721-n,wordnet
叙情詩,じょじょうし,wnja:06380726-n,wordnet
口争い,くちあらそい,wnja:07184149-n,wordnet
口付き,くちつき,wnja:03795123-n,wordnet
口内炎,こうないえん,wnja:14356044-n,wordnet
口切り,くちきり,wnja:15265518-n,wordnet
口唇期,こうしんき,wnja:15146545-n,wordnet
口唇裂,こうしんれつ,wnja:14214355-n,wordnet
口抜き,くちぬき,wnja:03109150-n,wordnet
口振り,くちぶり,wnja:07071483-n,wordnet
口答え,くちごたえ,wnja:06721949-n,wordnet
口脚類,こうきゃくるい,wnja:01989701-n,wordnet
口腔癌,こうくうがん,wnja:14251845-n,wordnet
口蓋垂,こうがいすい,wnja:05309245-n,wordnet
口蓋裂,こうがいれつ,wnja:14214486-n,wordnet
口蓋骨,こうがいこつ,wnja:05278152-n,wordnet
口角炎,こうかくえん,wnja:14058066-n,wordnet
口言葉,くちことば,wnja:07109196-n,wordnet
口蹄疫,こうていえき,wnja:14264664-n,wordnet
古参兵,こさんへい,wnja:10749528-n,wordnet
古強者,ふるつわもの,wnja:10749123-n,wordnet
古文学,こぶんがく,wnja:06145586-n,wordnet
古生代,こせいだい,wnja:15126931-n,wordnet
古細菌,こさいきん,wnja:01341876-n,wordnet
句切れ,くぎれ,wnja:01062817-n,wordnet
句構造,くこうぞう,wnja:06176107-n,wordnet
句読法,くとうほう,wnja:00390198-n,wordnet
叩き肉,たたきにく,wnja:07678586-n,wordnet
召替え,めしかえ,wnja:03005769-n,wordnet
可塑剤,かそざい,wnja:14593162-n,wordnet
可塑性,かそせい,wnja:05021884-n,wordnet
可惜物,あったらもの,wnja:08463969-n,wordnet
可燃性,かねんせい,wnja:04712405-n,wordnet
可視光,かしこう,wnja:11473954-n,wordnet
可読性,かどくせい,wnja:04819285-n,wordnet
右寄り,みぎより,wnja:08416652-n,wordnet
右心室,うしんしつ,wnja:05392157-n,wordnet
右心房,うしんぼう,wnja:05393429-n,wordnet
司教区,しきょうく,wnja:08550966-n,wordnet
司法官,しほうかん,wnja:10225219-n,wordnet
司法権,しほうけん,wnja:00593944-n,wordnet
司法省,しほうしょう,wnja:08135342-n,wordnet
合せ目,あわせめ,wnja:04160372-n,wordnet
合の子,あいのこ,wnja:10157549-n,wordnet
合の手,あいのて,wnja:00520880-n,wordnet
合奏団,がっそうだん,wnja:08188235-n,wordnet
合宿所,がっしゅくじょ,wnja:02857477-n,wordnet
合成数,ごうせいすう,wnja:13594417-n,wordnet
合法化,ごうほうか,wnja:01195380-n,wordnet
合法性,ごうほうせい,wnja:04783247-n,wordnet
合糸機,ごうしき,wnja:03227721-n,wordnet
合衆国,がっしゅうこく,wnja:09044862-n,wordnet
吉草酸,きっそうさん,wnja:14740094-n,wordnet
吉野紙,よしのがみ,wnja:15074962-n,wordnet
吊り紐,つりひも,wnja:03106110-n,wordnet
同一性,どういつせい,wnja:04743024-n,wordnet
同伴者,どうはんしゃ,wnja:09760609-n,wordnet
同位体,どういたい,wnja:14619658-n,wordnet
同居人,どうきょにん,wnja:10188957-n,wordnet
同意語,どういご,wnja:06303682-n,wordnet
同所性,どうしょせい,wnja:13959463-n,wordnet
同時性,どうじせい,wnja:05048123-n,wordnet
同期生,どうきせい,wnja:08238660-n,wordnet
同素体,どうそたい,wnja:14624025-n,wordnet
同調者,どうちょうしゃ,wnja:10686073-n,wordnet
同類項,どうるいこう,wnja:06289074-n,wordnet
名取草,なとりぐさ,wnja:11719286-n,wordnet
名折れ,なおれ,wnja:14440137-n,wordnet
名文句,めいもんく,wnja:07153727-n,wordnet
名詞句,めいしく,wnja:06316480-n,wordnet
向日性,こうじつせい,wnja:00862079-n,wordnet
君主国,くんしゅこく,wnja:08363812-n,wordnet
含羞草,おじぎそう,wnja:11755110-n,wordnet
吸い口,すいくち,wnja:03794957-n,wordnet
吸入剤,きゅうにゅうざい,wnja:03571155-n,wordnet
吸収剤,きゅうしゅうざい,wnja:14597413-n,wordnet
吸引力,きゅういんりょく,wnja:04689330-n,wordnet
吸湿性,きゅうしつせい,wnja:04940964-n,wordnet
吹き矢,ふきや,wnja:02855253-n,wordnet
吹上げ,ふきあげ,wnja:03387815-n,wordnet
吹流し,ふきながし,wnja:02788021-n,wordnet
呉れ手,くれて,wnja:10025730-n,wordnet
周旋料,しゅうせんりょう,wnja:07169480-n,wordnet
周期律,しゅうきりつ,wnja:05887156-n,wordnet
周期性,しゅうきせい,wnja:04767805-n,wordnet
呪い言,のろいごと,wnja:07233634-n,wordnet
呼び声,よびごえ,wnja:07192511-n,wordnet
呼び子,よびこ,wnja:04579432-n,wordnet
呼び水,よびみず,wnja:00853835-n,wordnet
呼び物,よびもの,wnja:03325769-n,wordnet
呼吸商,こきゅうしょう,wnja:13825292-n,wordnet
呼吸数,こきゅうすう,wnja:15281653-n,wordnet
命数法,めいすうほう,wnja:07230959-n,wordnet
咀嚼筋,そしゃくきん,wnja:05294256-n,wordnet
和三盆,わさんぼん,wnja:07859284-n,wordnet
咽頭炎,いんとうえん,wnja:14173484-n,wordnet
品定め,しなさだめ,wnja:00874806-n,wordnet
品評会,ひんぴょうかい,wnja:08407619-n,wordnet
唇歯音,しんしおん,wnja:07117193-n,wordnet
唐変木,とうへんぼく,wnja:10274639-n,wordnet
唐獅子,からじし,wnja:02129165-n,wordnet
唐茄子,とうなす,wnja:07735510-n,wordnet
唯名論,ゆいめいろん,wnja:05974156-n,wordnet
唯心論,ゆいしんろん,wnja:05973007-n,wordnet
唯物論,ゆいぶつろん,wnja:05972585-n,wordnet
商い屋,あきないや,wnja:10309896-n,wordnet
商い物,あきないもの,wnja:03076708-n,wordnet
商務省,しょうむしょう,wnja:08129268-n,wordnet
商品名,しょうひんめい,wnja:06845599-n,wordnet
商行為,しょうこうい,wnja:01094725-n,wordnet
喉頭炎,こうとうえん,wnja:14349043-n,wordnet
喉頭鏡,こうとうきょう,wnja:03643149-n,wordnet
喚き声,わめきごえ,wnja:07120524-n,wordnet
喜歌劇,きかげき,wnja:07026646-n,wordnet
喫水線,きっすいせん,wnja:08678783-n,wordnet
喫煙室,きつえんしつ,wnja:04247440-n,wordnet
営業費,えいぎょうひ,wnja:13277179-n,wordnet
営造物,えいぞうぶつ,wnja:02913152-n,wordnet
嗅神経,きゅうしんけい,wnja:05477946-n,wordnet
嘆願書,たんがんしょ,wnja:06513366-n,wordnet
嘘偽り,うそいつわり,wnja:06756831-n,wordnet
噴火山,ふんかざん,wnja:09472597-n,wordnet
囃子方,はやしかた,wnja:10340312-n,wordnet
四つ足,よつあし,wnja:00015388-n,wordnet
四十雀,しじゅうから,wnja:01592084-n,wordnet
四角形,しかっけい,wnja:13879126-n,wordnet
四重奏,しじゅうそう,wnja:07041688-n,wordnet
回し者,まわしもの,wnja:10641755-n,wordnet
回れ右,まわれみぎ,wnja:00346936-n,wordnet
回外筋,かいがいきん,wnja:05292587-n,wordnet
回帰熱,かいきねつ,wnja:14142459-n,wordnet
回帰線,かいきせん,wnja:08675145-n,wordnet
回教徒,かいきょうと,wnja:09682291-n,wordnet
回盲弁,かいもうべん,wnja:05536638-n,wordnet
回虫症,かいちゅうしょう,wnja:14453175-n,wordnet
回転子,かいてんし,wnja:04111962-n,wordnet
回転翼,かいてんよく,wnja:04112252-n,wordnet
回転軸,かいてんじく,wnja:02764614-n,wordnet
回送車,かいそうしゃ,wnja:03166120-n,wordnet
回顧録,かいころく,wnja:06516495-n,wordnet
困り者,こまりもの,wnja:00623862-n,wordnet
囲い者,かこいもの,wnja:10323752-n,wordnet
図書券,としょけん,wnja:06518253-n,wordnet
固定子,こていし,wnja:04306592-n,wordnet
固有値,こゆうち,wnja:05856589-n,wordnet
固有性,こゆうせい,wnja:04763925-n,wordnet
固溶体,こようたい,wnja:15051705-n,wordnet
国内法,こくないほう,wnja:08453464-n,wordnet
国務省,こくむしょう,wnja:08122009-n,wordnet
国境線,こっきょうせん,wnja:08512736-n,wordnet
国税庁,こくぜいちょう,wnja:08143321-n,wordnet
国防省,こくぼうしょう,wnja:08207095-n,wordnet
国際法,こくさいほう,wnja:08454003-n,wordnet
国際色,こくさいしょく,wnja:05126611-n,wordnet
園芸家,えんげいか,wnja:10186350-n,wordnet
園遊会,えんゆうかい,wnja:08255508-n,wordnet
土壌学,どじょうがく,wnja:06061631-n,wordnet
圧力計,あつりょくけい,wnja:04001499-n,wordnet
圧縮機,あっしゅくき,wnja:03082807-n,wordnet
圧迫性,あっぱくせい,wnja:00356790-n,wordnet
在庫品,ざいこひん,wnja:04321534-n,wordnet
地下茎,ちかけい,wnja:13128582-n,wordnet
地割れ,じわれ,wnja:13907272-n,wordnet
地形学,ちけいがく,wnja:05064541-n,wordnet
地役権,ちえきけん,wnja:13998014-n,wordnet
地政学,ちせいがく,wnja:06148748-n,wordnet
地文学,ちもんがく,wnja:06122445-n,wordnet
地方債,ちほうさい,wnja:13338657-n,wordnet
地溝帯,ちこうたい,wnja:09410224-n,wordnet
地球人,ちきゅうじん,wnja:10699262-n,wordnet
地球儀,ちきゅうぎ,wnja:03440512-n,wordnet
地腫れ,じばれ,wnja:14315192-n,wordnet
地誌学,ちしがく,wnja:06122578-n,wordnet
地震学,じしんがく,wnja:06120496-n,wordnet
地震計,じしんけい,wnja:04168840-n,wordnet
地響き,じひびき,wnja:07377682-n,wordnet
垂れ幕,たれまく,wnja:02788021-n,wordnet
垂れ絹,たれぎぬ,wnja:03151077-n,wordnet
垂乳根,たらちね,wnja:10080869-n,wordnet
垣間見,かいまみ,wnja:05934396-n,wordnet
埋め草,うめくさ,wnja:03714721-n,wordnet
埋合せ,うめあわせ,wnja:00259643-n,wordnet
埋葬地,まいそうち,wnja:08521623-n,wordnet
埋蔵物,まいぞうぶつ,wnja:08464098-n,wordnet
執成し,とりなし,wnja:01240210-n,wordnet
執政官,しっせいかん,wnja:09770472-n,wordnet
執行部,しっこうぶ,wnja:09770472-n,wordnet
培養基,ばいようき,wnja:14899328-n,wordnet
基底膜,きていまく,wnja:05286272-n,wordnet
基本形,きほんけい,wnja:05937524-n,wordnet
基本法,きほんほう,wnja:06533648-n,wordnet
堀切り,ほりきり,wnja:13893786-n,wordnet
堅パン,かたぱん,wnja:07694839-n,wordnet
堆積物,たいせきぶつ,wnja:09428967-n,wordnet
堕天使,だてんし,wnja:10575241-n,wordnet
堕胎罪,だたいざい,wnja:00231315-n,wordnet
堪え性,こらえしょう,wnja:04640538-n,wordnet
塞栓症,そくせんしょう,wnja:14101083-n,wordnet
塩化銀,えんかぎん,wnja:15018318-n,wordnet
塩素化,えんそか,wnja:13448622-n,wordnet
塩素酸,えんそさん,wnja:14610782-n,wordnet
塵溜め,ごみため,wnja:08560027-n,wordnet
境界層,きょうかいそう,wnja:11431191-n,wordnet
墓掘り,はかほり,wnja:10144468-n,wordnet
増感剤,ぞうかんざい,wnja:06321054-n,wordnet
増殖炉,ぞうしょくろ,wnja:02896949-n,wordnet
増血剤,ぞうけつざい,wnja:03513961-n,wordnet
墨付き,すみつき,wnja:00614730-n,wordnet
墨染め,すみぞめ,wnja:04960277-n,wordnet
壁塗り,かべぬり,wnja:00718815-n,wordnet
壁掛け,かべかけ,wnja:03169390-n,wordnet
壊血病,かいけつびょう,wnja:14201520-n,wordnet
士君子,しくんし,wnja:10127273-n,wordnet
声遣い,こわづかい,wnja:04987620-n,wordnet
声音学,せいおんがく,wnja:06177033-n,wordnet
売り方,うりかた,wnja:05639651-n,wordnet
売国奴,ばいこくど,wnja:10722965-n,wordnet
売掛金,うりかけきん,wnja:13407208-n,wordnet
変り種,かわりだね,wnja:05840650-n,wordnet
変光星,へんこうせい,wnja:09469152-n,wordnet
変分学,へんぶんがく,wnja:06015978-n,wordnet
変化形,へんかけい,wnja:05840650-n,wordnet
変圧器,へんあつき,wnja:04471315-n,wordnet
変奏曲,へんそうきょく,wnja:07030012-n,wordnet
変形菌,へんけいきん,wnja:12975804-n,wordnet
変質者,へんしつしゃ,wnja:10419047-n,wordnet
変速機,へんそくき,wnja:04472243-n,wordnet
変電所,へんでんしょ,wnja:04348702-n,wordnet
夕さり,ゆうさり,wnja:15166462-n,wordnet
夕めし,ゆうめし,wnja:07575726-n,wordnet
夕間暮,ゆうまぐれ,wnja:15166462-n,wordnet
外交団,がいこうだん,wnja:08357647-n,wordnet
外交家,がいこうか,wnja:10013927-n,wordnet
外務省,がいむしょう,wnja:08114152-n,wordnet
外反足,がいはんそく,wnja:14214819-n,wordnet
外向性,がいこうせい,wnja:04621738-n,wordnet
外呼吸,がいこきゅう,wnja:00831191-n,wordnet
外套膜,がいとうまく,wnja:05244045-n,wordnet
外惑星,がいわくせい,wnja:09381480-n,wordnet
外来者,がいらいしゃ,wnja:10661002-n,wordnet
外気圏,がいきけん,wnja:09277432-n,wordnet
外皮系,がいひけい,wnja:05461179-n,wordnet
外科学,げかがく,wnja:06063588-n,wordnet
外翅類,がいしるい,wnja:02232408-n,wordnet
外耳炎,がいじえん,wnja:14351759-n,wordnet
外耳道,がいじどう,wnja:05248667-n,wordnet
外肛類,がいこうるい,wnja:02314001-n,wordnet
外輪船,がいりんせん,wnja:03874138-n,wordnet
外部性,がいぶせい,wnja:05078623-n,wordnet
外骨格,がいこっかく,wnja:05586759-n,wordnet
多元論,たげんろん,wnja:05965749-n,wordnet
多孔性,たこうせい,wnja:04940146-n,wordnet
多年生,たねんせい,wnja:13534608-n,wordnet
多指症,たししょう,wnja:14471724-n,wordnet
多毛症,たもうしょう,wnja:04683600-n,wordnet
多毛類,たもうるい,wnja:01936219-n,wordnet
多汗症,たかんしょう,wnja:13495209-n,wordnet
多血症,たけつしょう,wnja:05120116-n,wordnet
多血質,たけつしつ,wnja:04963111-n,wordnet
多角形,たかっけい,wnja:13866144-n,wordnet
多辺形,たへんけい,wnja:13866144-n,wordnet
多重度,たじゅうど,wnja:05098750-n,wordnet
多重星,たじゅうせい,wnja:09363064-n,wordnet
多面性,ためんせい,wnja:05098750-n,wordnet
多面角,ためんかく,wnja:13916363-n,wordnet
多項式,たこうしき,wnja:05861855-n,wordnet
夜会服,やかいふく,wnja:03384891-n,wordnet
夜想曲,やそうきょく,wnja:07047679-n,wordnet
夜盲症,やもうしょう,wnja:14554853-n,wordnet
夜驚症,やきょうしょう,wnja:07290503-n,wordnet
夢占い,ゆめうらない,wnja:05777599-n,wordnet
夢想家,むそうか,wnja:10062996-n,wordnet
夢物語,ゆめものがたり,wnja:05632732-n,wordnet
夢語り,ゆめがたり,wnja:05632732-n,wordnet
夢遊病,むゆうびょう,wnja:00285141-n,wordnet
大主教,だいしゅきょう,wnja:09805151-n,wordnet
大入道,おおにゅうどう,wnja:10129133-n,wordnet
大写し,おおうつし,wnja:03049695-n,wordnet
大出来,おおでき,wnja:07319103-n,wordnet
大切り,おおぎり,wnja:00210797-n,wordnet
大前提,だいぜんてい,wnja:06754184-n,wordnet
大司教,だいしきょう,wnja:09805151-n,wordnet
大団円,だいだんえん,wnja:00210797-n,wordnet
大天使,だいてんし,wnja:09539183-n,wordnet
大学校,だいがっこう,wnja:08278324-n,wordnet
大学者,だいがくしゃ,wnja:10207077-n,wordnet
大宇宙,だいうちゅう,wnja:09466280-n,wordnet
大宮人,おおみやびと,wnja:09971839-n,wordnet
大広間,おおひろま,wnja:03478907-n,wordnet
大急ぎ,おおいそぎ,wnja:05060189-n,wordnet
大惑星,だいわくせい,wnja:09394007-n,wordnet
大手術,だいしゅじゅつ,wnja:00684837-n,wordnet
大気圏,たいきけん,wnja:08499057-n,wordnet
大洪水,だいこうずい,wnja:11454591-n,wordnet
大犬座,おおいぬざ,wnja:09232841-n,wordnet
大猩々,おおしょうじょう,wnja:02480855-n,wordnet
大白鳥,おおはくちょう,wnja:01859325-n,wordnet
大目玉,おおめだま,wnja:06713187-n,wordnet
大福帳,だいふくちょう,wnja:03165211-n,wordnet
大立者,おおだてもの,wnja:09840217-n,wordnet
大経師,だいきょうじ,wnja:10397001-n,wordnet
大胸筋,だいきょうきん,wnja:05551939-n,wordnet
大腸炎,だいちょうえん,wnja:14341091-n,wordnet
大腸癌,だいちょうがん,wnja:14247239-n,wordnet
大腸菌,だいちょうきん,wnja:01368338-n,wordnet
大腿骨,だいたいこつ,wnja:05573895-n,wordnet
大自然,だいしぜん,wnja:09366762-n,wordnet
大臼歯,だいきゅうし,wnja:05307773-n,wordnet
大茴香,だいういきょう,wnja:07826930-n,wordnet
大荒れ,おおあれ,wnja:13977732-n,wordnet
大蔵省,おおくらしょう,wnja:08120235-n,wordnet
大虐殺,だいぎゃくさつ,wnja:00223983-n,wordnet
大衆性,たいしゅうせい,wnja:04808639-n,wordnet
大親友,だいしんゆう,wnja:09851371-n,wordnet
大豆油,だいずゆ,wnja:07675262-n,wordnet
大豆粕,だいずかす,wnja:07569873-n,wordnet
大逆罪,たいぎゃくざい,wnja:00782072-n,wordnet
大陪審,だいばいしん,wnja:08414964-n,wordnet
大陸棚,たいりくだな,wnja:09255207-n,wordnet
大静脈,だいじょうみゃく,wnja:05422668-n,wordnet
大風子,だいふうし,wnja:12379531-n,wordnet
天上界,てんじょうかい,wnja:05627785-n,wordnet
天体暦,てんたいれき,wnja:06426865-n,wordnet
天動説,てんどうせつ,wnja:05890809-n,wordnet
天引き,てんびき,wnja:00360757-n,wordnet
天才児,てんさいじ,wnja:09918867-n,wordnet
天文家,てんもんか,wnja:09818343-n,wordnet
天水桶,てんすいおけ,wnja:04049303-n,wordnet
天然痘,てんねんとう,wnja:14124423-n,wordnet
天球儀,てんきゅうぎ,wnja:02990920-n,wordnet
天眼通,てんがんつう,wnja:07256695-n,wordnet
天鵞絨,びろうど,wnja:04524941-n,wordnet
太り肉,ふとりじし,wnja:04999401-n,wordnet
太刀風,たちかぜ,wnja:07396414-n,wordnet
太刀魚,たちうお,wnja:02622955-n,wordnet
太陰暦,たいいんれき,wnja:15178417-n,wordnet
太陽年,たいようねん,wnja:15202806-n,wordnet
太陽暦,たいようれき,wnja:15178694-n,wordnet
太陽炉,たいようろ,wnja:04258138-n,wordnet
太陽神,たいようしん,wnja:09506973-n,wordnet
太陽虫,たいようちゅう,wnja:01390763-n,wordnet
太陽風,たいようふう,wnja:11510571-n,wordnet
失声症,しっせいしょう,wnja:14400507-n,wordnet
失書症,しっしょしょう,wnja:14095948-n,wordnet
失業率,しつぎょうりつ,wnja:13819074-n,wordnet
失語症,しつごしょう,wnja:09798244-n,wordnet
失読症,しつどくしょう,wnja:14099050-n,wordnet
夾竹桃,きょうちくとう,wnja:11773987-n,wordnet
夾雑物,きょうざつぶつ,wnja:14583670-n,wordnet
奇術師,きじゅつし,wnja:10226413-n,wordnet
奇蹄類,きているい,wnja:02373093-n,wordnet
奉仕者,ほうししゃ,wnja:13952171-n,wordnet
奏鳴曲,そうめいきょく,wnja:07044088-n,wordnet
奥座敷,おくざしき,wnja:04131015-n,wordnet
奥書き,おくがき,wnja:01101958-n,wordnet
奥許し,おくゆるし,wnja:06478582-n,wordnet
奨励金,しょうれいきん,wnja:13267014-n,wordnet
女友達,おんなともだち,wnja:10130686-n,wordnet
女嫌い,おんなぎらい,wnja:07547064-n,wordnet
女子衆,おなごしゅう,wnja:10282672-n,wordnet
女学生,じょがくせい,wnja:10559603-n,wordnet
女房役,にょうぼうやく,wnja:09815790-n,wordnet
女生徒,じょせいと,wnja:10559603-n,wordnet
奴隷化,どれいか,wnja:00089234-n,wordnet
好き事,すきごと,wnja:07488875-n,wordnet
好一対,こういっつい,wnja:07988857-n,wordnet
好中球,こうちゅうきゅう,wnja:05453657-n,wordnet
好色家,こうしょくか,wnja:10552980-n,wordnet
好色本,こうしょくぼん,wnja:06411753-n,wordnet
好色漢,こうしょくかん,wnja:10552980-n,wordnet
好酸球,こうさんきゅう,wnja:01349333-n,wordnet
如何様,いかさま,wnja:00752954-n,wordnet
如何物,いかもの,wnja:03318438-n,wordnet
妃殿下,ひでんか,wnja:10474064-n,wordnet
妄想症,もうそうしょう,wnja:14398390-n,wordnet
妬み心,ねたみごころ,wnja:07550079-n,wordnet
始新世,ししんせい,wnja:15125845-n,wordnet
始祖鳥,しそちょう,wnja:01516212-n,wordnet
姐さん,あねさん,wnja:10129825-n,wordnet
姦通罪,かんつうざい,wnja:00848466-n,wordnet
姪っ子,めいっこ,wnja:10357613-n,wordnet
姫御前,ひめごぜ,wnja:10474064-n,wordnet
娘細胞,じょうさいぼう,wnja:11688552-n,wordnet
婆さん,ばあさん,wnja:10377021-n,wordnet
婆羅門,ばらもん,wnja:02404573-n,wordnet
婦人科,ふじんか,wnja:06050901-n,wordnet
婦女子,ふじょし,wnja:10787470-n,wordnet
媒染剤,ばいせんざい,wnja:14955030-n,wordnet
嫁入り,よめいり,wnja:01036996-n,wordnet
嬉しさ,うれしさ,wnja:07527352-n,wordnet
子ヤギ,こやぎ,wnja:02416820-n,wordnet
子安貝,こやすがい,wnja:01953361-n,wordnet
子殺し,こごろし,wnja:01250492-n,wordnet
孔雀石,くじゃくせき,wnja:14680661-n,wordnet
存在論,そんざいろん,wnja:06162847-n,wordnet
孤児院,こじいん,wnja:03129471-n,wordnet
孤立化,こりつか,wnja:01202029-n,wordnet
学習帳,がくしゅうちょう,wnja:06415419-n,wordnet
孫息子,まごむすこ,wnja:10143299-n,wordnet
宇宙塵,うちゅうじん,wnja:11441416-n,wordnet
宇宙論,うちゅうろん,wnja:06098195-n,wordnet
守備率,しゅびりつ,wnja:13818354-n,wordnet
守銭奴,しゅせんど,wnja:09912681-n,wordnet
安全器,あんぜんき,wnja:03464467-n,wordnet
安全帽,あんぜんぼう,wnja:03492922-n,wordnet
安全弁,あんぜんべん,wnja:04127633-n,wordnet
安全灯,あんぜんとう,wnja:04126852-n,wordnet
安全率,あんぜんりつ,wnja:13825490-n,wordnet
安定化,あんていか,wnja:01159025-n,wordnet
安定器,あんていき,wnja:04294212-n,wordnet
安山岩,あんざんがん,wnja:14725364-n,wordnet
安息香,あんそくこう,wnja:11706120-n,wordnet
安普請,やすぶしん,wnja:01105038-n,wordnet
完全性,かんぜんせい,wnja:04785414-n,wordnet
